Region,country,article_name,rev_id,article_quality,population
AFRICA,Chad,Bir I of Kanem,355319463.0,Stub,15.4
AFRICA,Chad,Abdullah II of Kanem,498683267.0,Stub,15.4
AFRICA,Chad,Salmama II of Kanem,565745353.0,Stub,15.4
AFRICA,Chad,Kuri I of Kanem,565745365.0,Stub,15.4
AFRICA,Chad,Mohammed I of Kanem,565745375.0,Stub,15.4
AFRICA,Chad,Kuri II of Kanem,669719757.0,Stub,15.4
AFRICA,Chad,Bir II of Kanem,670893206.0,Stub,15.4
AFRICA,Chad,Mahamat Hissene,693055898.0,Stub,15.4
AFRICA,Chad,Othman I,705432607.0,Stub,15.4
AFRICA,Chad,Alphonse Kotiga,707593108.0,Stub,15.4
AFRICA,Chad,Oueddei Kichidemi,708346649.0,Start,15.4
AFRICA,Chad,Dunama I,710675092.0,Stub,15.4
AFRICA,Chad,Ahmad (Kanem-Bornu king),711388267.0,Stub,15.4
AFRICA,Chad,Djibrine Kerallah,712971263.0,Stub,15.4
AFRICA,Chad,Maurice Ngangtar,712971315.0,Stub,15.4
AFRICA,Chad,Idriss Miskine,712971738.0,Stub,15.4
AFRICA,Chad,Laoukein Kourayo Médard,716886170.0,Stub,15.4
AFRICA,Chad,Nadji Madou,716886788.0,Stub,15.4
AFRICA,Chad,Noël Milarew Odingar,716891799.0,Start,15.4
AFRICA,Chad,Yaya Dillo Djérou,717733209.0,Stub,15.4
AFRICA,Chad,Acheikh Ibn-Oumar,719821590.0,Start,15.4
AFRICA,Chad,Quatre Sou Quatre,720066754.0,Stub,15.4
AFRICA,Chad,Ali Gazi,722563340.0,Stub,15.4
AFRICA,Chad,Mahamat Djarma Khatir,725132042.0,Stub,15.4
AFRICA,Chad,Dunama IX Lefiami,731749611.0,Stub,15.4
AFRICA,Chad,Dawud of Kanem,736550266.0,Stub,15.4
AFRICA,Chad,Ahmed Koulamallah,738855197.0,Start,15.4
AFRICA,Chad,Abbo Nassour,741369486.0,C,15.4
AFRICA,Chad,Abdel Kader Baba-Laddé,742213176.0,Stub,15.4
AFRICA,Chad,Hummay,747271475.0,Stub,15.4
AFRICA,Chad,Ngarlejy Yorongar,751304544.0,C,15.4
AFRICA,Chad,Saleh Kezabo,751380073.0,Stub,15.4
AFRICA,Chad,Bourkou Louise Kabo,757072468.0,Start,15.4
AFRICA,Chad,Brahim Koulamallah,757802238.0,Stub,15.4
AFRICA,Chad,Saadie Goukouni Weddeye,757842614.0,Start,15.4
AFRICA,Chad,Mahamoud Adam Béchir,762579466.0,Start,15.4
AFRICA,Chad,Kalthouma Nguembang,762816132.0,Stub,15.4
AFRICA,Chad,Djidingar Dono Ngardoum,764133533.0,Stub,15.4
AFRICA,Chad,Youssouf Saleh Abbas,771052289.0,B,15.4
AFRICA,Chad,Koibla Djimasta,774223245.0,Start,15.4
AFRICA,Chad,Nassour Guelendouksia Ouaido,774223248.0,C,15.4
AFRICA,Chad,Joseph Brahim Seid,777478442.0,Stub,15.4
AFRICA,Chad,Joseph Yodoyman,777550078.0,Start,15.4
AFRICA,Chad,Antoine Bangui,782638002.0,Start,15.4
AFRICA,Chad,Ibrahim IV of Bornu,785614014.0,Stub,15.4
AFRICA,Chad,Hadjé Halimé,786449636.0,C,15.4
AFRICA,Chad,Youssouf Togoïmi,787390241.0,Start,15.4
AFRICA,Chad,Adoum Younousmi,787719236.0,Start,15.4
AFRICA,Chad,François Tombalbaye,787738541.0,C,15.4
AFRICA,Chad,Ahmat Hassaballah Soubiane,787910771.0,Stub,15.4
AFRICA,Chad,Ahmad Allam-Mi,787921293.0,Start,15.4
AFRICA,Chad,Laotegguelnodji Koumtog,788009613.0,Stub,15.4
AFRICA,Chad,Mahamat Ali Adoum,788014671.0,Start,15.4
AFRICA,Chad,Mahamat Saleh Annadif,788658822.0,Start,15.4
AFRICA,Chad,Mohamed Bechir-Sow,788827248.0,Stub,15.4
AFRICA,Chad,Gontchomé Sahoulba,788828388.0,Start,15.4
AFRICA,Chad,Gabriel Lisette,788828519.0,Start,15.4
AFRICA,Chad,Ali II of Bornu,788999424.0,Stub,15.4
AFRICA,Chad,Arabi El Goni,789126126.0,Stub,15.4
AFRICA,Chad,Dunama Dabbalemi,789935196.0,Start,15.4
AFRICA,Chad,Idris Alooma,792734868.0,Start,15.4
AFRICA,Chad,Mahamat Nouri,792954115.0,FA,15.4
AFRICA,Chad,Idriss Ndele Moussa,796654025.0,Start,15.4
AFRICA,Chad,Mbaydoum Simeon,796690873.0,Stub,15.4
AFRICA,Chad,Ngarindo Milengar,796700718.0,Stub,15.4
AFRICA,Chad,List of Prime Ministers of Chad,797747674.0,Start,15.4
AFRICA,Chad,Idriss Déby,798286150.0,C,15.4
AFRICA,Chad,Saleh Kebzabo,798626040.0,C,15.4
AFRICA,Chad,Moussa Faki,799043301.0,C,15.4
AFRICA,Chad,Kalzeubet Pahimi Deubet,799413193.0,Stub,15.4
AFRICA,Chad,Haroun Kabadi,799447895.0,Start,15.4
AFRICA,Chad,Nagoum Yamassoum,799447995.0,Start,15.4
AFRICA,Chad,Outel Bono,799448338.0,Start,15.4
AFRICA,Chad,Ahmat Acyl,799902492.0,C,15.4
AFRICA,Chad,Djimrangar Dadnadji,800133552.0,Start,15.4
AFRICA,Chad,Delwa Kassiré Koumakoye,801029539.0,C,15.4
AFRICA,Chad,Fidèle Moungar,801192255.0,C,15.4
AFRICA,Chad,Jean Alingué Bawoyeu,801192303.0,B,15.4
AFRICA,Chad,Emmanuel Nadingar,801573576.0,C,15.4
AFRICA,Chad,Roger Djikisna,801583221.0,Stub,15.4
AFRICA,Chad,Firmin Djidingar,801583260.0,Stub,15.4
AFRICA,Chad,Idris I of Kanem,802874918.0,Stub,15.4
AFRICA,Chad,Vice President of Chad,803166509.0,Stub,15.4
AFRICA,Chad,Hissène Habré,803166806.0,GA,15.4
